,5,50,95,date
0,270.5712265014648,278.0078887939453,279.43133544921875,1980-01-01
1,276.2963119506836,276.54148864746094,278.4014526367187,1980-02-01
2,276.9691101074219,278.28846740722656,280.41139221191406,1980-03-01
3,278.8269271850586,280.4283447265625,282.2257904052734,1980-04-01
4,281.17454833984374,282.9270782470703,285.4330856323242,1980-05-01
5,284.2939224243164,285.9602355957031,287.53368377685547,1980-06-01
6,285.57611083984375,286.0251922607422,290.95838165283203,1980-07-01
7,285.46097564697266,286.8197784423828,290.94805908203125,1980-08-01
8,284.0104217529297,284.9435729980469,288.62923736572264,1980-09-01
9,280.4758834838867,282.1011047363281,285.9400146484375,1980-10-01
10,277.24876098632814,280.3235168457031,283.0811569213867,1980-11-01
11,276.4015182495117,279.5469207763672,280.4850677490234,1980-12-01
12,275.15298614501955,277.6493377685547,280.08166961669923,1981-01-01
13,276.4801651000977,277.2638702392578,280.3311462402344,1981-02-01
14,274.4324523925781,277.5332336425781,280.7725860595703,1981-03-01
15,277.5662322998047,280.0179138183594,282.2864334106445,1981-04-01
16,281.23311920166014,282.9391784667969,284.8712524414062,1981-05-01
17,283.0022033691406,285.1806182861328,287.81993408203124,1981-06-01
18,285.58351135253906,288.4444580078125,290.1376663208008,1981-07-01
19,284.65670013427734,287.91583251953125,291.41075897216797,1981-08-01
20,284.8097427368164,286.3107452392578,289.8453872680664,1981-09-01
21,282.1008926391602,282.3822784423828,286.2995101928711,1981-10-01
22,277.74235382080076,278.45428466796875,279.4219055175781,1981-11-01
23,277.73773193359375,278.1654510498047,280.59059753417966,1981-12-01
24,277.13534088134764,278.07830810546875,279.77817687988284,1982-01-01
25,275.9130065917969,277.8963928222656,279.04801483154296,1982-02-01
26,273.14174041748043,276.5174102783203,280.1468246459961,1982-03-01
27,278.52799530029296,279.6764221191406,281.12886505126954,1982-04-01
28,279.5898666381836,282.21788024902344,284.2752670288086,1982-05-01
29,282.39164581298826,285.27662658691406,287.24232177734376,1982-06-01
30,284.9112182617188,286.1282043457031,290.10107574462893,1982-07-01
31,286.2690490722656,287.118896484375,291.33595581054686,1982-08-01
32,284.28778381347655,285.42835998535156,288.54610443115234,1982-09-01
33,282.01343231201173,283.1007537841797,284.9437057495117,1982-10-01
34,278.04183197021484,280.4842987060547,281.07525024414065,1982-11-01
35,275.1739288330078,280.4927062988281,281.2522796630859,1982-12-01
36,277.09059143066406,278.6976623535156,280.3607894897461,1983-01-01
37,276.0357498168945,277.33319091796875,278.90331268310547,1983-02-01
38,276.3016326904297,277.5719299316406,280.06568450927733,1983-03-01
39,278.0077880859375,281.9568328857422,283.0989166259766,1983-04-01
40,281.3287612915039,282.8369445800781,285.24443969726565,1983-05-01
41,283.5876525878906,285.42970275878906,287.7196838378906,1983-06-01
42,285.98641815185545,287.10028076171875,289.91601104736327,1983-07-01
43,285.5399337768555,287.8634490966797,290.1877944946289,1983-08-01
44,284.05029144287107,286.84107971191406,288.1952102661133,1983-09-01
45,281.3246398925781,281.9141540527344,283.65887756347655,1983-10-01
46,279.65000000000003,280.19439697265625,281.3334930419922,1983-11-01
47,277.6060989379883,278.9163055419922,280.0647766113281,1983-12-01
48,273.59137878417965,278.1611785888672,279.6307662963867,1984-01-01
49,276.35296630859375,279.41636657714844,280.8532028198242,1984-02-01
50,276.6368469238281,276.7869415283203,279.7439193725586,1984-03-01
51,279.0868118286133,279.9546661376953,280.99943084716796,1984-04-01
52,280.3531814575195,283.3608856201172,283.93311462402346,1984-05-01
53,283.5461685180664,285.4726104736328,286.64539337158203,1984-06-01
54,285.4277679443359,288.88525390625,290.692155456543,1984-07-01
55,286.9851806640625,288.29393005371094,289.5792297363281,1984-08-01
56,283.9200103759766,284.7902374267578,288.33705139160156,1984-09-01
57,280.8802886962891,283.816162109375,286.2737548828125,1984-10-01
58,278.75854034423827,280.09962463378906,281.5787094116211,1984-11-01
59,276.6361633300781,279.08543395996094,280.9978515625,1984-12-01
60,276.95658111572266,277.2552490234375,279.3640838623047,1985-01-01
61,273.9893112182617,276.8943786621094,278.389714050293,1985-02-01
62,276.4794219970703,278.21583557128906,280.17066345214846,1985-03-01
63,279.0132827758789,279.79225158691406,282.23978118896486,1985-04-01
64,281.82410736083983,283.1006317138672,283.8129623413086,1985-05-01
65,284.8011077880859,285.3125305175781,285.8404251098633,1985-06-01
66,285.37864379882814,287.8588104248047,290.7153915405273,1985-07-01
67,286.39723205566406,287.0598907470703,291.0613311767578,1985-08-01
68,284.1134506225586,284.2492370605469,288.34875030517577,1985-09-01
69,280.0173675537109,281.75437927246094,286.4791015625,1985-10-01
70,278.8201629638672,281.06800842285156,283.56181640625,1985-11-01
71,277.3801498413086,278.1762390136719,280.9664611816406,1985-12-01
72,274.2141708374023,276.0636901855469,279.8299377441406,1986-01-01
73,274.86867065429686,276.70912170410156,277.83459014892577,1986-02-01
74,275.5248779296875,277.7900695800781,278.7277069091797,1986-03-01
75,278.46287689208987,279.8023376464844,281.5215591430664,1986-04-01
76,282.1657150268555,282.28611755371094,284.471858215332,1986-05-01
77,283.0629257202148,286.32708740234375,288.45507965087893,1986-06-01
78,284.679116821289,286.1938018798828,289.1488021850586,1986-07-01
79,286.41049041748045,287.922119140625,289.9381759643555,1986-08-01
80,283.3610076904297,285.429931640625,288.28659973144534,1986-09-01
81,282.37116088867185,282.7601318359375,285.0910446166992,1986-10-01
82,278.3490386962891,280.06044006347656,281.94724731445314,1986-11-01
83,274.9692047119141,276.8843994140625,278.6911911010742,1986-12-01
