,5,50,95,date
0,276.9073791503906,276.9073791503906,276.9073791503906,2015-01-01
1,277.5198059082031,277.5198059082031,277.5198059082031,2015-02-01
2,276.6207580566406,276.6207580566406,276.6207580566406,2015-03-01
3,279.4481506347656,279.4481506347656,279.4481506347656,2015-04-01
4,281.9427185058594,281.9427185058594,281.9427185058594,2015-05-01
5,287.300048828125,287.300048828125,287.300048828125,2015-06-01
6,287.9184265136719,287.9184265136719,287.9184265136719,2015-07-01
7,288.34954833984375,288.34954833984375,288.34954833984375,2015-08-01
8,286.8583679199219,286.8583679199219,286.8583679199219,2015-09-01
9,283.9245910644531,283.9245910644531,283.9245910644531,2015-10-01
10,280.8887023925781,280.8887023925781,280.8887023925781,2015-11-01
11,280.02783203125,280.02783203125,280.02783203125,2015-12-01
12,277.7256774902344,277.7256774902344,277.7256774902344,2016-01-01
13,277.7818298339844,277.7818298339844,277.7818298339844,2016-02-01
14,278.94097900390625,278.94097900390625,278.94097900390625,2016-03-01
15,279.5201721191406,279.5201721191406,279.5201721191406,2016-04-01
16,282.6097106933594,282.6097106933594,282.6097106933594,2016-05-01
17,285.494873046875,285.494873046875,285.494873046875,2016-06-01
18,288.8754577636719,288.8754577636719,288.8754577636719,2016-07-01
19,288.9015808105469,288.9015808105469,288.9015808105469,2016-08-01
20,287.78094482421875,287.78094482421875,287.78094482421875,2016-09-01
21,284.1391296386719,284.1391296386719,284.1391296386719,2016-10-01
22,280.71026611328125,280.71026611328125,280.71026611328125,2016-11-01
23,279.2419128417969,279.2419128417969,279.2419128417969,2016-12-01
24,276.6702880859375,276.6702880859375,276.6702880859375,2017-01-01
25,275.4397277832031,275.4397277832031,275.4397277832031,2017-02-01
26,278.2010803222656,278.2010803222656,278.2010803222656,2017-03-01
27,278.5915222167969,278.5915222167969,278.5915222167969,2017-04-01
28,282.2069396972656,282.2069396972656,282.2069396972656,2017-05-01
29,287.8255920410156,287.8255920410156,287.8255920410156,2017-06-01
30,289.13525390625,289.13525390625,289.13525390625,2017-07-01
31,289.2392578125,289.2392578125,289.2392578125,2017-08-01
32,288.587646484375,288.587646484375,288.587646484375,2017-09-01
33,282.1719055175781,282.1719055175781,282.1719055175781,2017-10-01
34,281.5536193847656,281.5536193847656,281.5536193847656,2017-11-01
35,278.09588623046875,278.09588623046875,278.09588623046875,2017-12-01
36,278.5310974121094,278.5310974121094,278.5310974121094,2018-01-01
37,277.14654541015625,277.14654541015625,277.14654541015625,2018-02-01
38,279.9189758300781,279.9189758300781,279.9189758300781,2018-03-01
39,278.60430908203125,278.60430908203125,278.60430908203125,2018-04-01
40,284.1971740722656,284.1971740722656,284.1971740722656,2018-05-01
41,285.9456481933594,285.9456481933594,285.9456481933594,2018-06-01
42,288.0665283203125,288.0665283203125,288.0665283203125,2018-07-01
