,5,50,95,date
0,6.975538417464122e-05,6.975538417464122e-05,6.975538417464122e-05,2015-01-01
1,1.6335854525095783e-05,1.6335854525095783e-05,1.6335854525095783e-05,2015-02-01
2,4.8856341891223565e-05,4.8856341891223565e-05,4.8856341891223565e-05,2015-03-01
3,4.150657696300186e-05,4.150657696300186e-05,4.150657696300186e-05,2015-04-01
4,1.1065937542298343e-05,1.1065937542298343e-05,1.1065937542298343e-05,2015-05-01
5,2.2617459762841463e-05,2.2617459762841463e-05,2.2617459762841463e-05,2015-06-01
6,1.2849403901782352e-05,1.2849403901782352e-05,1.2849403901782352e-05,2015-07-01
7,8.908785275707487e-06,8.908785275707487e-06,8.908785275707487e-06,2015-08-01
8,3.328506863908842e-05,3.328506863908842e-05,3.328506863908842e-05,2015-09-01
9,2.5298078980995342e-05,2.5298078980995342e-05,2.5298078980995342e-05,2015-10-01
10,5.8856832765741274e-05,5.8856832765741274e-05,5.8856832765741274e-05,2015-11-01
11,4.950296715833247e-05,4.950296715833247e-05,4.950296715833247e-05,2015-12-01
12,3.864877362502739e-05,3.864877362502739e-05,3.864877362502739e-05,2016-01-01
13,3.962769187637605e-05,3.962769187637605e-05,3.962769187637605e-05,2016-02-01
14,4.498638736549765e-05,4.498638736549765e-05,4.498638736549765e-05,2016-03-01
15,1.603383498149924e-05,1.603383498149924e-05,1.603383498149924e-05,2016-04-01
16,3.635447228589328e-06,3.635447228589328e-06,3.635447228589328e-06,2016-05-01
17,3.212911178707145e-05,3.212911178707145e-05,3.212911178707145e-05,2016-06-01
18,9.543847227178048e-06,9.543847227178048e-06,9.543847227178048e-06,2016-07-01
19,2.5320883651147597e-05,2.5320883651147597e-05,2.5320883651147597e-05,2016-08-01
20,1.0902804206125438e-05,1.0902804206125438e-05,1.0902804206125438e-05,2016-09-01
21,2.708594001887832e-05,2.708594001887832e-05,2.708594001887832e-05,2016-10-01
22,2.0363955627544783e-05,2.0363955627544783e-05,2.0363955627544783e-05,2016-11-01
23,5.223636617301963e-05,5.223636617301963e-05,5.223636617301963e-05,2016-12-01
24,4.20651922468096e-05,4.20651922468096e-05,4.20651922468096e-05,2017-01-01
25,3.5435812606010586e-05,3.5435812606010586e-05,3.5435812606010586e-05,2017-02-01
26,2.538520857342519e-05,2.538520857342519e-05,2.538520857342519e-05,2017-03-01
27,2.238053821201902e-05,2.238053821201902e-05,2.238053821201902e-05,2017-04-01
28,3.6164088669465855e-05,3.6164088669465855e-05,3.6164088669465855e-05,2017-05-01
29,2.4847900931490585e-05,2.4847900931490585e-05,2.4847900931490585e-05,2017-06-01
30,1.0661688975233119e-05,1.0661688975233119e-05,1.0661688975233119e-05,2017-07-01
31,1.1547637768671848e-05,1.1547637768671848e-05,1.1547637768671848e-05,2017-08-01
32,1.1383740456949454e-05,1.1383740456949454e-05,1.1383740456949454e-05,2017-09-01
33,1.695543141977396e-05,1.695543141977396e-05,1.695543141977396e-05,2017-10-01
34,5.605059413937852e-05,5.605059413937852e-05,5.605059413937852e-05,2017-11-01
35,7.473996083717793e-05,7.473996083717793e-05,7.473996083717793e-05,2017-12-01
36,9.382337157148868e-05,9.382337157148868e-05,9.382337157148868e-05,2018-01-01
