,5,50,95,date
0,101392.046875,101392.046875,101392.046875,2015-01-01
1,102674.59375,102674.59375,102674.59375,2015-02-01
2,101712.4140625,101712.4140625,101712.4140625,2015-03-01
3,101060.4609375,101060.4609375,101060.4609375,2015-04-01
4,101649.796875,101649.796875,101649.796875,2015-05-01
5,101634.734375,101634.734375,101634.734375,2015-06-01
6,101693.046875,101693.046875,101693.046875,2015-07-01
7,101907.4453125,101907.4453125,101907.4453125,2015-08-01
8,102053.265625,102053.265625,102053.265625,2015-09-01
9,101618.109375,101618.109375,101618.109375,2015-10-01
10,101950.9140625,101950.9140625,101950.9140625,2015-11-01
11,101706.9296875,101706.9296875,101706.9296875,2015-12-01
12,101584.6953125,101584.6953125,101584.6953125,2016-01-01
13,101364.6171875,101364.6171875,101364.6171875,2016-02-01
14,101771.1015625,101771.1015625,101771.1015625,2016-03-01
15,101992.390625,101992.390625,101992.390625,2016-04-01
16,101870.2578125,101870.2578125,101870.2578125,2016-05-01
17,101567.7265625,101567.7265625,101567.7265625,2016-06-01
18,101867.6875,101867.6875,101867.6875,2016-07-01
19,101993.8359375,101993.8359375,101993.8359375,2016-08-01
20,102287.859375,102287.859375,102287.859375,2016-09-01
21,101758.453125,101758.453125,101758.453125,2016-10-01
22,101599.6796875,101599.6796875,101599.6796875,2016-11-01
23,101103.4296875,101103.4296875,101103.4296875,2016-12-01
24,101013.3828125,101013.3828125,101013.3828125,2017-01-01
25,102047.734375,102047.734375,102047.734375,2017-02-01
26,101922.3984375,101922.3984375,101922.3984375,2017-03-01
27,101815.1171875,101815.1171875,101815.1171875,2017-04-01
28,101131.15625,101131.15625,101131.15625,2017-05-01
29,101456.6015625,101456.6015625,101456.6015625,2017-06-01
30,101929.6484375,101929.6484375,101929.6484375,2017-07-01
31,101993.1796875,101993.1796875,101993.1796875,2017-08-01
32,102086.6796875,102086.6796875,102086.6796875,2017-09-01
33,102666.453125,102666.453125,102666.453125,2017-10-01
34,101351.734375,101351.734375,101351.734375,2017-11-01
35,100665.7578125,100665.7578125,100665.7578125,2017-12-01
36,101211.9453125,101211.9453125,101211.9453125,2018-01-01
37,101421.7265625,101421.7265625,101421.7265625,2018-02-01
38,101867.3203125,101867.3203125,101867.3203125,2018-03-01
39,101264.2265625,101264.2265625,101264.2265625,2018-04-01
40,101319.15625,101319.15625,101319.15625,2018-05-01
41,101532.9765625,101532.9765625,101532.9765625,2018-06-01
42,101729.2578125,101729.2578125,101729.2578125,2018-07-01
43,102077.0078125,102077.0078125,102077.0078125,2018-08-01
44,101875.0078125,101875.0078125,101875.0078125,2018-09-01
45,101932.1796875,101932.1796875,101932.1796875,2018-10-01
46,102265.578125,102265.578125,102265.578125,2018-11-01
47,100808.5,100808.5,100808.5,2018-12-01
48,101652.4453125,101652.4453125,101652.4453125,2019-01-01
49,101490.796875,101490.796875,101490.796875,2019-02-01
50,102045.1171875,102045.1171875,102045.1171875,2019-03-01
51,101823.703125,101823.703125,101823.703125,2019-04-01
52,101303.8671875,101303.8671875,101303.8671875,2019-05-01
53,101698.1796875,101698.1796875,101698.1796875,2019-06-01
54,102073.9765625,102073.9765625,102073.9765625,2019-07-01
55,102016.984375,102016.984375,102016.984375,2019-08-01
56,101802.4375,101802.4375,101802.4375,2019-09-01
57,101600.015625,101600.015625,101600.015625,2019-10-01
58,101642.734375,101642.734375,101642.734375,2019-11-01
59,101841.6640625,101841.6640625,101841.6640625,2019-12-01
60,101350.3203125,101350.3203125,101350.3203125,2020-01-01
61,101196.4921875,101196.4921875,101196.4921875,2020-02-01
62,101199.2734375,101199.2734375,101199.2734375,2020-03-01
63,101308.5234375,101308.5234375,101308.5234375,2020-04-01
64,101106.5703125,101106.5703125,101106.5703125,2020-05-01
65,101615.3125,101615.3125,101615.3125,2020-06-01
66,101909.3125,101909.3125,101909.3125,2020-07-01
67,102247.6875,102247.6875,102247.6875,2020-08-01
68,101627.96875,101627.96875,101627.96875,2020-09-01
69,101832.09375,101832.09375,101832.09375,2020-10-01
70,101154.4296875,101154.4296875,101154.4296875,2020-11-01
71,100654.59375,100654.59375,100654.59375,2020-12-01
72,102348.484375,102348.484375,102348.484375,2021-01-01
73,101079.6171875,101079.6171875,101079.6171875,2021-02-01
74,101350.140625,101350.140625,101350.140625,2021-03-01
75,102380.6484375,102380.6484375,102380.6484375,2021-04-01
76,101690.75,101690.75,101690.75,2021-05-01
77,101690.1796875,101690.1796875,101690.1796875,2021-06-01
78,101853.9140625,101853.9140625,101853.9140625,2021-07-01
