source,http://www.cuepe.ch/html/biblio/pdf/perez-ineichen%201990%20-%20modelling%20daylight%20(se).pdf,,
value,category,lower,upper
1,overcast,1,1.065
2,,1.065,1.23
3,,1.23,1.5
4,,1.5,1.95
5,,1.95,2.8
6,,2.8,4.5
7,,4.5,6.2
8,clear,6.2,inf
